Year,Month,Make,Model,Count,Reg Date
2018,Apr,BMW,2 SERIES,1,2018-04-01
2018,Apr,BMW,I,1,2018-04-01
2018,Apr,BMW,I3,2,2018-04-01
2018,Apr,HYUNDAI,IONIQ,10,2018-04-01
2018,Apr,MERCEDES-BENZ,B250,1,2018-04-01
2018,Apr,MITSUBISHI,I-MIEV,1,2018-04-01
2018,Apr,NISSAN,E-NV200,2,2018-04-01
2018,Apr,NISSAN,LEAF,229,2018-04-01
2018,Apr,RENAULT,ZOE,1,2018-04-01
2018,Apr,SMART,FORTWO,3,2018-04-01
2018,Apr,TESLA,MODEL S,19,2018-04-01
2018,Apr,TESLA,MODEL X,12,2018-04-01
2018,Apr,TOYOTA,AQUA,1,2018-04-01
2018,Apr,VOLKSWAGEN,GOLF,10,2018-04-01
2018,Aug,BMW,2 SERIES,1,2018-08-01
2018,Aug,BMW,I,2,2018-08-01
2018,Aug,BMW,I3,1,2018-08-01
2018,Aug,HYUNDAI,IONIQ,38,2018-08-01
2018,Aug,HYUNDAI,KONA,14,2018-08-01
2018,Aug,MITSUBISHI,I-MIEV,5,2018-08-01
2018,Aug,NISSAN,LEAF,297,2018-08-01
2018,Aug,RENAULT,ZOE,2,2018-08-01
2018,Aug,SMART,FORTWO,1,2018-08-01
2018,Aug,TESLA,MODEL S,5,2018-08-01
2018,Aug,TESLA,MODEL X,11,2018-08-01
2018,Aug,VOLKSWAGEN,GOLF,6,2018-08-01
2018,Dec,BMW,I,2,2018-12-01
2018,Dec,HYUNDAI,IONIQ,7,2018-12-01
2018,Dec,HYUNDAI,KONA,7,2018-12-01
2018,Dec,JAGUAR,I-PACE,3,2018-12-01
2018,Dec,NISSAN,LEAF,260,2018-12-01
2018,Dec,TESLA,MODEL S,4,2018-12-01
2018,Dec,TESLA,MODEL X,11,2018-12-01
2018,Feb,BMW,I,6,2018-02-01
2018,Feb,BMW,I3,1,2018-02-01
2018,Feb,HYUNDAI,IONIQ,9,2018-02-01
2018,Feb,KIA,SOUL,2,2018-02-01
2018,Feb,MERCEDES-BENZ,B250,1,2018-02-01
2018,Feb,MITSUBISHI,I-MIEV,2,2018-02-01
2018,Feb,NISSAN,E-NV200,6,2018-02-01
2018,Feb,NISSAN,LEAF,146,2018-02-01
2018,Feb,RENAULT,ZOE,4,2018-02-01
2018,Feb,SMART,FORTWO,1,2018-02-01
2018,Feb,TESLA,MODEL S,7,2018-02-01
2018,Feb,TESLA,MODEL X,5,2018-02-01
2018,Feb,VOLKSWAGEN,GOLF,5,2018-02-01
2018,Jan,AUDI,Q7,1,2018-01-01
2018,Jan,BMW,3 SERIES,2,2018-01-01
2018,Jan,BMW,330,1,2018-01-01
2018,Jan,BMW,I,3,2018-01-01
2018,Jan,BMW,I3,2,2018-01-01
2018,Jan,HYUNDAI,IONIQ,11,2018-01-01
2018,Jan,MITSUBISHI,MIEV,2,2018-01-01
2018,Jan,NISSAN,E-NV200,14,2018-01-01
2018,Jan,NISSAN,LEAF,239,2018-01-01
2018,Jan,RENAULT,ZOE,6,2018-01-01
2018,Jan,SMART,FORTWO,1,2018-01-01
2018,Jan,TESLA,MODEL S,16,2018-01-01
2018,Jan,TESLA,MODEL X,7,2018-01-01
2018,Jan,VOLKSWAGEN,GOLF,23,2018-01-01
2018,Jul,BMW,I,1,2018-07-01
2018,Jul,BMW,I3,1,2018-07-01
2018,Jul,HONDA,INSIGHT,1,2018-07-01
2018,Jul,HYUNDAI,IONIQ,15,2018-07-01
2018,Jul,HYUNDAI,KONA,8,2018-07-01
2018,Jul,MITSUBISHI,I-MIEV,5,2018-07-01
2018,Jul,MITSUBISHI,OUTLANDER,1,2018-07-01
2018,Jul,NISSAN,E-NV200,4,2018-07-01
2018,Jul,NISSAN,LEAF,330,2018-07-01
2018,Jul,RENAULT,ZOE,4,2018-07-01
2018,Jul,SUZUKI,IGNIS,1,2018-07-01
2018,Jul,TESLA,MODEL S,3,2018-07-01
2018,Jul,TESLA,MODEL X,11,2018-07-01
2018,Jul,VOLKSWAGEN,GOLF,9,2018-07-01
2018,Jun,BMW,3 SERIES,1,2018-06-01
2018,Jun,BMW,5 SERIES,1,2018-06-01
2018,Jun,BMW,I,3,2018-06-01
2018,Jun,BMW,I3,2,2018-06-01
2018,Jun,HYUNDAI,IONIQ,26,2018-06-01
2018,Jun,KIA,SOUL,1,2018-06-01
2018,Jun,MITSUBISHI,I-MIEV,2,2018-06-01
2018,Jun,MITSUBISHI,MIEV,1,2018-06-01
2018,Jun,MITSUBISHI,MINICAB,1,2018-06-01
2018,Jun,MITSUBISHI,OUTLANDER,2,2018-06-01
2018,Jun,NISSAN,E-NV200,5,2018-06-01
2018,Jun,NISSAN,LEAF,297,2018-06-01
2018,Jun,RENAULT,ZOE,13,2018-06-01
2018,Jun,TESLA,MODEL S,7,2018-06-01
2018,Jun,TESLA,MODEL X,25,2018-06-01
2018,Jun,TOYOTA,ALPHARD,1,2018-06-01
2018,Jun,TOYOTA,AQUA,1,2018-06-01
2018,Jun,VOLKSWAGEN,GOLF,22,2018-06-01
